Discount Rate,CAPEX ($/kW),Capacity Factor (%),Economic Life (Years),Capital Recovery Factor,Fixed O&M Cost Fraction,Variable O&M Cost ($/MWh),LCOE ($/MWh),Technology
0.0003,2284.6078357263254,35,25,0.05742787103912782,0.0254,0,61.71859203930887,WON-357
0.0003,2284.6078357263254,35,30,0.0510192593202526,0.0254,0,56.94326113615496,WON-357
0.0003,2284.6078357263254,45,25,0.05742787103912782,0.0254,0,48.00334936390689,WON-357
0.0003,2284.6078357263254,45,30,0.0510192593202526,0.0254,0,44.2892031058983,WON-357
0.0003,1692.3039178631627,25,25,0.05742787103912782,0.0254,0,64.00453455149808,WON-357
0.0003,1692.3039178631627,25,30,0.0510192593202526,0.0254,0,59.05233422276917,WON-357
0.0003,1692.3039178631627,30,25,0.05742787103912782,0.0254,0,53.33711212624839,WON-357
0.0003,1692.3039178631627,30,30,0.0510192593202526,0.0254,0,49.2102785189743,WON-357
0.0003,1692.3039178631627,35,25,0.05742787103912782,0.0254,0,45.717524679641485,WON-357
0.0003,1692.3039178631627,35,30,0.0510192593202526,0.0254,0,42.180238730549405,WON-357
0.0003,1100.0,25,25,0.05742787103912782,0.0254,0,41.60304024796374,WON-357
0.0003,1100.0,25,30,0.0510192593202526,0.0254,0,38.384102854921395,WON-357
0.0003,1100.0,30,25,0.05742787103912782,0.0254,0,34.669200206636454,WON-357
0.0003,1100.0,30,30,0.0510192593202526,0.0254,0,31.98675237910116,WON-357
0.0003,1100.0,35,25,0.05742787103912782,0.0254,0,29.716457319974104,WON-357
0.0003,1100.0,35,30,0.0510192593202526,0.0254,0,27.417216324943855,WON-357
0.0007000000000000001,2284.6078357263254,30,25,0.08581051722066561,0.0273,0,98.33073590007236,WON-357
0.0007000000000000001,2284.6078357263254,30,30,0.0805864035111112,0.0273,0,93.78924004178721,WON-357
0.0007000000000000001,2284.6078357263254,35,25,0.08581051722066561,0.0273,0,84.28348791434775,WON-357
0.0007000000000000001,2284.6078357263254,35,30,0.0805864035111112,0.0273,0,80.39077717867477,WON-357
0.0007000000000000001,2284.6078357263254,45,25,0.08581051722066561,0.0273,0,65.55382393338158,WON-357
0.0007000000000000001,2284.6078357263254,45,30,0.0805864035111112,0.0273,0,62.52616002785815,WON-357
0.0007000000000000001,1692.3039178631627,25,25,0.08581051722066561,0.0273,0,87.40519244021058,WON-357
0.0007000000000000001,1692.3039178631627,25,30,0.0805864035111112,0.0273,0,83.36830289772583,WON-357
0.0007000000000000001,1692.3039178631627,30,25,0.08581051722066561,0.0273,0,72.83766036684214,WON-357
0.0007000000000000001,1692.3039178631627,30,30,0.0805864035111112,0.0273,0,69.47358574810485,WON-357
0.0007000000000000001,1692.3039178631627,35,25,0.08581051722066561,0.0273,0,62.43228031443613,WON-357
0.0007000000000000001,1692.3039178631627,35,30,0.0805864035111112,0.0273,0,59.54878778408988,WON-357
0.0007000000000000001,1100.0,25,25,0.08581051722066561,0.0273,0,56.81350180033433,WON-357
0.0007000000000000001,1100.0,25,30,0.0805864035111112,0.0273,0,54.189517745307,WON-357
0.0007000000000000001,1100.0,30,25,0.08581051722066561,0.0273,0,47.34458483361194,WON-357
0.0007000000000000001,1100.0,30,30,0.0805864035111112,0.0273,0,45.157931454422496,WON-357
0.0007000000000000001,1100.0,35,25,0.08581051722066561,0.0273,0,40.581072714524524,WON-357
0.0007000000000000001,1100.0,35,30,0.0805864035111112,0.0273,0,38.706798389505,WON-357
0.0005,2284.6078357263254,30,25,0.07095245729922962,0.0273,0,85.4141300704666,WON-357
0.0005,2284.6078357263254,30,30,0.06505143508027658,0.0273,0,80.28417512365714,WON-357
0.0005,2284.6078357263254,35,25,0.07095245729922962,0.0273,0,73.21211148897137,WON-357
0.0005,2284.6078357263254,35,30,0.06505143508027658,0.0273,0,68.81500724884897,WON-357
0.0005,2284.6078357263254,45,25,0.07095245729922962,0.0273,0,56.94275338031107,WON-357
0.0005,2284.6078357263254,45,30,0.06505143508027658,0.0273,0,53.52278341577143,WON-357
0.0005,1692.3039178631627,25,25,0.07095245729922962,0.0273,0,75.92375270647005,WON-357
0.0005,1692.3039178631627,25,30,0.06505143508027658,0.0273,0,71.36378785691214,WON-357
0.0005,1692.3039178631627,30,25,0.07095245729922962,0.0273,0,63.26979392205837,WON-357
0.0005,1692.3039178631627,30,30,0.06505143508027658,0.0273,0,59.46982321409345,WON-357
0.0005,1692.3039178631627,35,25,0.07095245729922962,0.0273,0,54.231251933192894,WON-357
0.0005,1692.3039178631627,35,30,0.06505143508027658,0.0273,0,50.974134183508674,WON-357
0.0005,1100.0,25,25,0.07095245729922962,0.0273,0,49.350549328380175,WON-357
0.0005,1100.0,25,30,0.06505143508027658,0.0273,0,46.38656556543573,WON-357
0.0005,1100.0,30,25,0.07095245729922962,0.0273,0,41.12545777365015,WON-357
0.0005,1100.0,30,30,0.06505143508027658,0.0273,0,38.655471304529776,WON-357
0.0005,1100.0,35,25,0.07095245729922962,0.0273,0,35.250392377414414,WON-357
0.0005,1100.0,35,30,0.06505143508027658,0.0273,0,33.13326111816838,WON-357
0.0003,2284.6078357263254,30,25,0.05742787103912782,0.0273,0,73.65675726042656,WON-357
0.0003,2284.6078357263254,30,30,0.0510192593202526,0.0273,0,68.08553787341367,WON-357
0.0003,2284.6078357263254,35,25,0.05742787103912782,0.0273,0,63.13436336607992,WON-357
0.0003,2284.6078357263254,35,30,0.0510192593202526,0.0273,0,58.35903246292601,WON-357
0.0003,2284.6078357263254,45,25,0.05742787103912782,0.0273,0,49.104504840284385,WON-357
0.0003,2284.6078357263254,45,30,0.0510192593202526,0.0273,0,45.39035858227579,WON-357
0.0003,1692.3039178631627,25,25,0.05742787103912782,0.0273,0,65.4727434300095,WON-357
0.0003,1692.3039178631627,25,30,0.0510192593202526,0.0273,0,60.5205431012806,WON-357
0.0003,1692.3039178631627,30,25,0.05742787103912782,0.0273,0,54.560619525007915,WON-357
0.0003,1692.3039178631627,30,30,0.0510192593202526,0.0273,0,50.43378591773383,WON-357
0.0003,1692.3039178631627,35,25,0.05742787103912782,0.0273,0,46.766245307149646,WON-357
0.0003,1692.3039178631627,35,30,0.0510192593202526,0.0273,0,43.22895935805757,WON-357
0.0003,1100.0,25,25,0.05742787103912782,0.0273,0,42.55737814750712,WON-357
0.0003,1100.0,25,30,0.0510192593202526,0.0273,0,39.338440754464784,WON-357
0.0003,1100.0,30,25,0.05742787103912782,0.0273,0,35.464481789589264,WON-357
0.0003,1100.0,30,30,0.0510192593202526,0.0273,0,32.78203396205398,WON-357
0.0003,1100.0,35,25,0.05742787103912782,0.0273,0,30.398127248219375,WON-357
0.0003,1100.0,35,30,0.0510192593202526,0.0273,0,28.098886253189132,WON-357
0.001,2284.6078357263254,30,25,0.11016807219002084,0.0254,0,117.85383561629898,WON-4610
0.001,2284.6078357263254,30,30,0.1060792482526339,0.0254,0,114.29928492898561,WON-4610
0.001,2284.6078357263254,35,25,0.11016807219002084,0.0254,0,101.01757338539915,WON-4610
0.001,2284.6078357263254,35,30,0.1060792482526339,0.0254,0,97.97081565341625,WON-4610
0.001,2284.6078357263254,45,25,0.11016807219002084,0.0254,0,78.56922374419933,WON-4610
0.001,2284.6078357263254,45,30,0.1060792482526339,0.0254,0,76.19952328599042,WON-4610
0.001,1692.3039178631627,25,25,0.11016807219002084,0.0254,0,104.75907749056088,WON-4610
0.001,1692.3039178631627,25,30,0.1060792482526339,0.0254,0,101.59947348659166,WON-4610
0.001,1692.3039178631627,30,25,0.11016807219002084,0.0254,0,87.29923124213407,WON-4610
0.001,1692.3039178631627,30,30,0.1060792482526339,0.0254,0,84.66622790549305,WON-4610
0.001,1692.3039178631627,35,25,0.11016807219002084,0.0254,0,74.82791249325778,WON-4610
0.001,1692.3039178631627,35,30,0.1060792482526339,0.0254,0,72.57105249042262,WON-4610
0.001,1100.0,25,25,0.11016807219002084,0.0254,0,68.09355224156297,WON-4610
0.001,1100.0,25,30,0.1060792482526339,0.0254,0,66.0398050584006,WON-4610
0.001,1100.0,30,25,0.11016807219002084,0.0254,0,56.744626867969146,WON-4610
0.001,1100.0,30,30,0.1060792482526339,0.0254,0,55.0331708820005,WON-4610
0.001,1100.0,35,25,0.11016807219002084,0.0254,0,48.638251601116416,WON-4610
0.001,1100.0,35,30,0.1060792482526339,0.0254,0,47.171289327429,WON-4610
0.0006,2284.6078357263254,30,25,0.07822671821227395,0.0254,0,90.08615388826674,WON-4610
0.0006,2284.6078357263254,30,30,0.0726489114900472,0.0254,0,85.23718092640743,WON-4610
0.0006,2284.6078357263254,35,25,0.07822671821227395,0.0254,0,77.21670333280007,WON-4610
0.0006,2284.6078357263254,35,30,0.0726489114900472,0.0254,0,73.06044079406352,WON-4610
0.0006,2284.6078357263254,45,25,0.07822671821227395,0.0254,0,60.057435925511164,WON-4610
0.0006,2284.6078357263254,45,30,0.0726489114900472,0.0254,0,56.82478728427163,WON-4610
0.0006,1692.3039178631627,25,25,0.07822671821227395,0.0254,0,80.07666722645351,WON-4610
0.0006,1692.3039178631627,25,30,0.0726489114900472,0.0254,0,75.76646440950928,WON-4610
0.0006,1692.3039178631627,30,25,0.07822671821227395,0.0254,0,66.73055602204458,WON-4610
0.0006,1692.3039178631627,30,30,0.0726489114900472,0.0254,0,63.13872034125773,WON-4610
0.0006,1692.3039178631627,35,25,0.07822671821227395,0.0254,0,57.19761944746679,WON-4610
0.0006,1692.3039178631627,35,30,0.0726489114900472,0.0254,0,54.11890314964949,WON-4610
0.0006,1100.0,25,25,0.07822671821227395,0.0254,0,52.04994978698692,WON-4610
0.0006,1100.0,25,30,0.0726489114900472,0.0254,0,49.24831170732964,WON-4610
0.0006,1100.0,30,25,0.07822671821227395,0.0254,0,43.37495815582243,WON-4610
