Discount Rate,CAPEX ($/kW),Capacity Factor (%),Economic Life (Years),Capital Recovery Factor,Fixed O&M Cost Fraction,Variable O&M Cost ($/MWh),LCOE ($/MWh),Technology,LCOE_Adjusted ($/MWh)
0.05,2284.6078357263254,30,30.0,0.06179886332626275,0.031395,0,80.28417512365714,Wind Onshore,212.9114303967881
0.05,2284.6078357263254,35,25.0,0.06740483443426815,0.031395,0,73.21211148897137,Wind Onshore,225.7188759169926
0.05,2284.6078357263254,35,30.0,0.06179886332626275,0.031395,0,68.81500724884897,Wind Onshore,212.9114303967881
0.05,2284.6078357263254,45,25.0,0.06740483443426815,0.031395,0,56.94275338031107,Wind Onshore,225.7188759169926
0.05,2284.6078357263254,45,30.0,0.06179886332626275,0.031395,0,53.52278341577143,Wind Onshore,212.9114303967881
0.05,1692.3039178631627,25,25.0,0.06740483443426815,0.031395,0,75.92375270647005,Wind Onshore,167.1993468973438
0.05,1692.3039178631627,25,30.0,0.06179886332626275,0.031395,0,71.36378785691214,Wind Onshore,157.71234002783856
0.05,1692.3039178631627,30,25.0,0.06740483443426815,0.031395,0,63.26979392205837,Wind Onshore,167.1993468973438
0.05,1692.3039178631627,30,30.0,0.06179886332626275,0.031395,0,59.46982321409345,Wind Onshore,157.71234002783856
0.05,1692.3039178631627,35,25.0,0.06740483443426815,0.031395,0,54.231251933192894,Wind Onshore,167.1993468973438
0.05,1692.3039178631627,35,30.0,0.06179886332626275,0.031395,0,50.974134183508674,Wind Onshore,157.71234002783856
0.05,1100.0,25,25.0,0.06740483443426815,0.031395,0,49.350549328380175,Wind Onshore,108.67981787769497
0.05,1100.0,25,30.0,0.06179886332626275,0.031395,0,46.38656556543573,Wind Onshore,102.51324965888904
0.05,1100.0,30,25.0,0.06740483443426815,0.031395,0,41.12545777365015,Wind Onshore,108.67981787769497
0.05,1100.0,30,30.0,0.06179886332626275,0.031395,0,38.655471304529776,Wind Onshore,102.51324965888904
0.05,1100.0,35,25.0,0.06740483443426815,0.031395,0,35.250392377414414,Wind Onshore,108.67981787769497
0.05,1100.0,35,30.0,0.06179886332626275,0.031395,0,33.13326111816838,Wind Onshore,102.51324965888904
0.03,2284.6078357263254,30,25.0,0.05455647748717143,0.031395,0,73.65675726042656,Wind Onshore,196.36541895944669
0.03,2284.6078357263254,30,30.0,0.048468296354239965,0.031395,0,68.08553787341367,Wind Onshore,182.4563126378303
0.03,2284.6078357263254,35,25.0,0.05455647748717143,0.031395,0,63.13436336607992,Wind Onshore,196.36541895944669
0.03,2284.6078357263254,35,30.0,0.048468296354239965,0.031395,0,58.35903246292601,Wind Onshore,182.4563126378303
0.03,2284.6078357263254,45,25.0,0.05455647748717143,0.031395,0,49.104504840284385,Wind Onshore,196.36541895944669
0.03,2284.6078357263254,45,30.0,0.048468296354239965,0.031395,0,45.39035858227579,Wind Onshore,182.4563126378303
0.03,1692.3039178631627,25,25.0,0.05455647748717143,0.031395,0,65.4727434300095,Wind Onshore,145.45602209766764
0.03,1692.3039178631627,25,30.0,0.048468296354239965,0.031395,0,60.5205431012806,Wind Onshore,135.15296931374712
0.03,1692.3039178631627,30,25.0,0.05455647748717143,0.031395,0,54.560619525007915,Wind Onshore,145.45602209766764
0.03,1692.3039178631627,30,30.0,0.048468296354239965,0.031395,0,50.43378591773383,Wind Onshore,135.15296931374712
0.03,1692.3039178631627,35,25.0,0.05455647748717143,0.031395,0,46.766245307149646,Wind Onshore,145.45602209766764
0.03,1692.3039178631627,35,30.0,0.048468296354239965,0.031395,0,43.22895935805757,Wind Onshore,135.15296931374712
0.03,1100.0,25,25.0,0.05455647748717143,0.031395,0,42.55737814750712,Wind Onshore,94.54662523588857
0.03,1100.0,25,30.0,0.048468296354239965,0.031395,0,39.338440754464784,Wind Onshore,87.84962598966396
0.03,1100.0,30,25.0,0.05455647748717143,0.031395,0,35.464481789589264,Wind Onshore,94.54662523588857
0.03,1100.0,30,30.0,0.048468296354239965,0.031395,0,32.78203396205398,Wind Onshore,87.84962598966396
0.03,1100.0,35,25.0,0.05455647748717143,0.031395,0,30.398127248219375,Wind Onshore,94.54662523588857
0.03,1100.0,35,30.0,0.048468296354239965,0.031395,0,28.098886253189132,Wind Onshore,87.84962598966396
0.1,2284.6078357263254,30,25.0,0.1046596685805198,0.029209999999999996,0,117.85383561629898,Wind Onshore,305.8396938051418
0.1,2284.6078357263254,30,30.0,0.1007752858400022,0.029209999999999996,0,114.29928492898561,Wind Onshore,296.9654025591952
